espn_player_name,espn_player_id,espn_first_name_lower,espn_last_name_lower,nba_id,nba_name,nba_first,nba_last
aaron brooks,3192,aaron,brooks,201166,"Brooks, Aaron",aaron,brooks
aaron gordon,3064290,aaron,gordon,203932,"Gordon, Aaron",aaron,gordon
adreian payne,2531100,adreian,payne,203940,"Payne, Adreian",adreian,payne
aj price,4010,aj,price,201985,"Price, A.J.",aj,price
al horford,3213,al,horford,201143,"Horford, Al",al,horford
al jefferson,2389,al,jefferson,2744,"Jefferson, Al",al,jefferson
alan anderson,6569,alan,anderson,101187,"Anderson, Alan",alan,anderson
alec burks,6429,alec,burks,202692,"Burks, Alec",alec,burks
alex kirk,2528355,alex,kirk,203945,"Kirk, Alex",alex,kirk
alex len,2596107,alex,len,203458,"Len, Alex",alex,len
alexey shved,3882,alexey,shved,203144,"Shved, Alexey",alexey,shved
alexis ajinca,3410,alexis,ajinca,201582,"Ajinca, Alexis",alexis,ajinca
alfarouq aminu,4248,alfarouq,aminu,202329,"Aminu, Al-Farouq",alfarouq,aminu
allen crabbe,2531210,allen,crabbe,203459,"Crabbe, Allen",allen,crabbe
alonzo gee,4232,alonzo,gee,202087,"Gee, Alonzo",alonzo,gee
amare stoudemire,1727,amare,stoudemire,2405,"Stoudemire, Amar'e",amare,stoudemire
amir johnson,2769,amir,johnson,101161,"Johnson, Amir",amir,johnson
anderson varejao,2419,anderson,varejao,2760,"Varejao, Anderson",anderson,varejao
andre dawkins,2488650,andre,dawkins,203958,"Dawkins, Andre",andre,dawkins
andre drummond,6585,andre,drummond,203083,"Drummond, Andre",andre,drummond
andre iguodala,2386,andre,iguodala,2738,"Iguodala, Andre",andre,iguodala
andre miller,557,andre,miller,1889,"Miller, Andre",andre,miller
andre roberson,2530596,andre,roberson,203460,"Roberson, Andre",andre,roberson
andrea bargnani,2987,andrea,bargnani,200745,"Bargnani, Andrea",andrea,bargnani
andrei kirilenko,434,andrei,kirilenko,1905,"Kirilenko, Andrei",andrei,kirilenko
andrew bogut,2747,andrew,bogut,101106,"Bogut, Andrew",andrew,bogut
andrew nicholson,6614,andrew,nicholson,203094,"Nicholson, Andrew",andrew,nicholson
andrew wiggins,3059319,andrew,wiggins,203952,"Wiggins, Andrew",andrew,wiggins
anthony bennett,2991473,anthony,bennett,203461,"Bennett, Anthony",anthony,bennett
anthony davis,6583,anthony,davis,203076,"Davis, Anthony",anthony,davis
anthony morrow,3474,anthony,morrow,201627,"Morrow, Anthony",anthony,morrow
anthony tolliver,3276,anthony,tolliver,201229,"Tolliver, Anthony",anthony,tolliver
archie goodwin,2991281,archie,goodwin,203462,"Goodwin, Archie",archie,goodwin
arinze onuaku,2202117,arinze,onuaku,202620,"Onuaku, Arinze",arinze,onuaku
aron baynes,2968439,aron,baynes,203382,"Baynes, Aron",aron,baynes
arron afflalo,3187,arron,afflalo,201167,"Afflalo, Arron",arron,afflalo
atila dos santos,1,atila,dossantos,202235,"Dos Santos, Atila",atila,dossantos
austin daye,3976,austin,daye,201948,"Daye, Austin",austin,daye
austin rivers,6617,austin,rivers,203085,"Rivers, Austin",austin,rivers
avery bradley,4240,avery,bradley,202340,"Bradley, Avery",avery,bradley
ben gordon,2381,ben,gordon,2732,"Gordon, Ben",ben,gordon
ben mclemore,2578213,ben,mclemore,203463,"McLemore, Ben",ben,mclemore
beno udrih,2448,beno,udrih,2757,"Udrih, Beno",beno,udrih
bernard james,6593,bernard,james,203108,"James, Bernard",bernard,james
bismack biyombo,6427,bismack,biyombo,202687,"Biyombo, Bismack",bismack,biyombo
blake griffin,3989,blake,griffin,201933,"Griffin, Blake",blake,griffin
bojan bogdanovic,3593,bojan,bogdanovic,202711,"Bogdanovic, Bojan",bojan,bogdanovic
boris diaw,2167,boris,diaw,2564,"Diaw, Boris",boris,diaw
bradley beal,6580,bradley,beal,203078,"Beal, Bradley",bradley,beal
brandan wright,3242,brandan,wright,201148,"Wright, Brandan",brandan,wright
brandon bass,2745,brandon,bass,101138,"Bass, Brandon",brandon,bass
brandon davies,2490144,brandon,davies,203561,"Davies, Brandon",brandon,davies
brandon jennings,3997,brandon,jennings,201943,"Jennings, Brandon",brandon,jennings
brandon knight,6448,brandon,knight,202688,"Knight, Brandon",brandon,knight
brandon rush,3457,brandon,rush,201575,"Rush, Brandon",brandon,rush
brendan haywood,1000,brendan,haywood,2217,"Haywood, Brendan",brendan,haywood
brian roberts,6641,brian,roberts,203148,"Roberts, Brian",brian,roberts
brook lopez,3448,brook,lopez,201572,"Lopez, Brook",brook,lopez
bruno caboclo,3113297,bruno,caboclo,203998,"Caboclo, Bruno",bruno,caboclo
bryce cotton,2531054,bryce,cotton,203955,"Cotton, Bryce",bryce,cotton
cameron bairstow,2528354,cameron,bairstow,203946,"Bairstow, Cameron",cameron,bairstow
carl landry,3217,carl,landry,201171,"Landry, Carl",carl,landry
carlos boozer,1703,carlos,boozer,2430,"Boozer, Carlos",carlos,boozer
carmelo anthony,1975,carmelo,anthony,2546,"Anthony, Carmelo",carmelo,anthony
caron butler,1705,caron,butler,2406,"Butler, Caron",caron,butler
cartier martin,3930,cartier,martin,201858,"Martin, Cartier",cartier,martin
chandler parsons,6466,chandler,parsons,202718,"Parsons, Chandler",chandler,parsons
channing frye,2754,channing,frye,101112,"Frye, Channing",channing,frye
chuck hayes,2834,chuck,hayes,101236,"Hayes, Charles",charles,hayes
charlie villanueva,2792,charlie,villanueva,101111,"Villanueva, Charlie",charlie,villanueva
chase budinger,3968,chase,budinger,201978,"Budinger, Chase",chase,budinger
chris andersen,1135,chris,andersen,2365,"Andersen, Chris",chris,andersen
chris bosh,1977,chris,bosh,2547,"Bosh, Chris",chris,bosh
chris copeland,6635,chris,copeland,203142,"Copeland, Chris",chris,copeland
chris douglasroberts,3422,chris,douglasroberts,201604,"Douglas-Roberts, Chris",chris,douglasroberts
chris johnson,2325975,chris,johnson,203187,"Johnson, Chris",chris,johnson
chris kaman,1982,chris,kaman,2549,"Kaman, Chris",chris,kaman
chris paul,2779,chris,paul,101108,"Paul, Chris",chris,paul
cj mccollum,2490149,cj,mccollum,203468,"McCollum, CJ",cj,mccollum
cj miles,2778,cj,miles,101139,"Miles, CJ",cj,miles
cj watson,3277,cj,watson,201228,"Watson, CJ",cj,watson
cj wilcox,2488999,cj,wilcox,203912,"Wilcox, CJ",cj,wilcox
cleanthony early,2991227,cleanthony,early,203921,"Early, Cleanthony",cleanthony,early
clint capela,3102529,clint,capela,203991,"Capela, Clint",clint,capela
cody zeller,2579258,cody,zeller,203469,"Zeller, Cody",cody,zeller
cole aldrich,4267,cole,aldrich,202332,"Aldrich, Cole",cole,aldrich
corey brewer,3191,corey,brewer,201147,"Brewer, Corey",corey,brewer
cory allen jefferson,2488845,cory,allen,203928,"Jefferson, Cory",cory,jefferson
cory joseph,6446,cory,joseph,202709,"Joseph, Cory",cory,joseph
courtney lee,3445,courtney,lee,201584,"Lee, Courtney",courtney,lee
dahntay jones,2008,dahntay,jones,2563,"Jones, Dahntay",dahntay,jones
damian lillard,6606,damian,lillard,203081,"Lillard, Damian",damian,lillard
damjan rudez,2309097,damjan,rudez,204014,"Rudez, Damjan",damjan,rudez
danilo gallinari,3428,danilo,gallinari,201568,"Gallinari, Danilo",danilo,gallinari
danny granger,2760,danny,granger,101122,"Granger, Danny",danny,granger
danny green,3988,danny,green,201980,"Green, Danny",danny,green
dante cunningham,3974,dante,cunningham,201967,"Cunningham, Dante",dante,cunningham
dante exum,3102528,dante,exum,203957,"Exum, Dante",dante,exum
darius miller,6610,darius,miller,203121,"Miller, Darius",darius,miller
darius morris,6463,darius,morris,202721,"Morris, Darius",darius,morris
darrell arthur,3413,darrell,arthur,201589,"Arthur, Darrell",darrell,arthur
darren collison,3973,darren,collison,201954,"Collison, Darren",darren,collison
david lee,2772,david,lee,101135,"Lee, David",david,lee
david stockton,2489664,david,stockton,204065,"Stockton, David",david,stockton
david stockton,2489664,david,stockton,43690,"Stockton, David",david,stockton
david wear,2488673,david,wear,204033,"Wear, David",david,wear
david west,2177,david,west,2561,"West, David",david,west
deandre jordan,3442,deandre,jordan,201599,"Jordan, DeAndre",deandre,jordan
dejuan blair,3965,dejuan,blair,201971,"Blair, DeJuan",dejuan,blair
demar derozan,3978,demar,derozan,201942,"DeRozan, DeMar",demar,derozan
demarcus cousins,4258,demarcus,cousins,202326,"Cousins, DeMarcus",demarcus,cousins
demarre carroll,3970,demarre,carroll,201960,"Carroll, DeMarre",demarre,carroll
dennis schroder,3032979,dennis,schroder,203471,"Schroder, Dennis",dennis,schroder
deron williams,2798,deron,williams,101114,"Williams, Deron",deron,williams
derrick favors,4257,derrick,favors,202324,"Favors, Derrick",derrick,favors
derrick rose,3456,derrick,rose,201565,"Rose, Derrick",derrick,rose
derrick williams,6480,derrick,williams,202682,"Williams, Derrick",derrick,williams
devin harris,2382,devin,harris,2734,"Harris, Devin",devin,harris
devyn marble,2527968,devyn,marble,203906,"Marble, Devyn",devyn,marble
dewayne dedmon,2580913,dewayne,dedmon,203473,"Dedmon, Dewayne",dewayne,dedmon
dion waiters,6628,dion,waiters,203079,"Waiters, Dion",dion,waiters
dirk nowitzki,609,dirk,nowitzki,1717,"Nowitzki, Dirk",dirk,nowitzki
dj augustin,3415,dj,augustin,201571,"Augustin, D.J.",dj,augustin
donald sloan,4303,donald,sloan,202388,"Sloan, Donald",donald,sloan
donatas motiejunas,6464,donatas,motiejunas,202700,"Motiejunas, Donatas",donatas,motiejunas
dorell wright,2423,dorell,wright,2748,"Wright, Dorell",dorell,wright
doug mcdermott,2528588,doug,mcdermott,203926,"McDermott, Doug",doug,mcdermott
draymond green,6589,draymond,green,203110,"Green, Draymond",draymond,green
drew gooden,1711,drew,gooden,2400,"Gooden, Drew",drew,gooden
drew gordon,2327465,drew,gordon,204079,"Gordon, Drew",drew,gordon
dwight buycks,6503,dwight,buycks,202779,"Buycks, Dwight",dwight,buycks
dwight howard,2384,dwight,howard,2730,"Howard, Dwight",dwight,howard
dwight powell,2531367,dwight,powell,203939,"Powell, Dwight",dwight,powell
dwyane wade,1987,dwyane,wade,2548,"Wade, Dwyane",dwyane,wade
earl barron,2477,earl,barron,2853,"Barron, Earl",earl,barron
earl clark,3971,earl,clark,201947,"Clark, Earl",earl,clark
ed davis,4259,ed,davis,202334,"Davis, Ed",ed,davis
ekpe udoh,4261,ekpe,udoh,202327,"Udoh, Ekpe",ekpe,udoh
elfrid payton,2583639,elfrid,payton,203901,"Payton, Elfrid",elfrid,payton
elijah millsap,4321,elijah,millsap,202407,"Millsap, Elijah",elijah,millsap
elliot williams,4294,elliot,williams,202343,"Williams, Elliot",elliot,williams
elton brand,91,elton,brand,1882,"Brand, Elton",elton,brand
enes kanter,6447,enes,kanter,202683,"Kanter, Enes",enes,kanter
eric bledsoe,4238,eric,bledsoe,202339,"Bledsoe, Eric",eric,bledsoe
eric gordon,3431,eric,gordon,201569,"Gordon, Eric",eric,gordon
eric moreland,2531352,eric,moreland,203961,"Moreland, Eric",eric,moreland
erick green,2488684,erick,green,203475,"Green, Erick",erick,green
ersan ilyasova,2767,ersan,ilyasova,101141,"Ilyasova, Ersan",ersan,ilyasova
etwaun moore,6460,etwaun,moore,202734,"Moore, E'Twaun",etwaun,moore
evan fournier,6588,evan,fournier,203095,"Fournier, Evan",evan,fournier
evan turner,4239,evan,turner,202323,"Turner, Evan",evan,turner
festus ezeli,6587,festus,ezeli,203105,"Ezeli, Festus",festus,ezeli
francisco garcia,2755,francisco,garcia,101128,"Garcia, Francisco",francisco,garcia
furkan aldemir,6577,furkan,aldemir,203128,"Aldemir, Furkan",furkan,aldemir
gal mekel,4218,gal,mekel,203539,"Mekel, Gal",gal,mekel
garrett temple,4023,garrett,temple,202066,"Temple, Garrett",garrett,temple
gary harris,2999547,gary,harris,203914,"Harris, Gary",gary,harris
gary neal,4300,gary,neal,202390,"Neal, Gary",gary,neal
george hill,3438,george,hill,201588,"Hill, George",george,hill
gerald green,2761,gerald,green,101123,"Green, Gerald",gerald,green
gerald henderson,3993,gerald,henderson,201945,"Henderson, Gerald",gerald,henderson
gerald wallace,1026,gerald,wallace,2222,"Wallace, Gerald",gerald,wallace
giannis antetokounmpo,3032977,giannis,antetokounmpo,203507,"Antetokounmpo, Giannis",giannis,antetokounmpo
luigi datome,2585629,luigi,datome,203540,"Datome, Gigi",gigi,datome
glen davis,3200,glen,davis,201175,"Davis, Glen",glen,davis
glen rice jr,2488660,glen,rice,203318,"Rice Jr., Glen",glen,ricejr
glenn robinson iii,2991039,glenn,robinson,203922,"Robinson, Glenn",glenn,robinson
goran dragic,3423,goran,dragic,201609,"Dragic, Goran",goran,dragic
gordon hayward,4249,gordon,hayward,202330,"Hayward, Gordon",gordon,hayward
gorgui dieng,2534781,gorgui,dieng,203476,"Dieng, Gorgui",gorgui,dieng
grant jerrett,2991009,grant,jerrett,203511,"Jerrett, Grant",grant,jerrett
greg monroe,4260,greg,monroe,202328,"Monroe, Greg",greg,monroe
greg smith,6530,greg,smith,202962,"Smith, Greg",greg,smith
greg stiemsma,4235,greg,stiemsma,201880,"Stiemsma, Greg",greg,stiemsma
greivis vasquez,4291,greivis,vasquez,202349,"Vasquez, Greivis",greivis,vasquez
harrison barnes,6578,harrison,barnes,203084,"Barnes, Harrison",harrison,barnes
hassan whiteside,4262,hassan,whiteside,202355,"Whiteside, Hassan",hassan,whiteside
hedo turkoglu,862,hedo,turkoglu,2045,"Turkoglu, Hedo",hedo,turkoglu
henry sims,6647,henry,sims,203156,"Sims, Henry",henry,sims
henry walker,3464,henry,walker,201611,"Walker, Henry",henry,walker
henry walker,3464,henry,walker,201608,"Walker, Henry",henry,walker
hollis thompson,6634,hollis,thompson,203138,"Thompson, Hollis",hollis,thompson
ian mahinmi,2774,ian,mahinmi,101133,"Mahinmi, Ian",ian,mahinmi
ian patrick clark,2489785,ian,patrick,203546,"Clark, Ian",ian,clark
iman shumpert,6468,iman,shumpert,202697,"Shumpert, Iman",iman,shumpert
isaiah canaan,2490589,isaiah,canaan,203477,"Canaan, Isaiah",isaiah,canaan
isaiah thomas,6472,isaiah,thomas,202738,"Thomas, Isaiah",isaiah,thomas
ish smith,4305,ish,smith,202397,"Smith, Ish",ish,smith
jabari brown,2580784,jabari,brown,203913,"Brown, Jabari",jabari,brown
jabari parker,3056600,jabari,parker,203953,"Parker, Jabari",jabari,parker
jack cooley,2488713,jack,cooley,204022,"Cooley, Jack",jack,cooley
jae crowder,6581,jae,crowder,203109,"Crowder, Jae",jae,crowder
jakarr sampson,2608891,jakarr,sampson,203960,"Sampson, JaKarr",jakarr,sampson
jamaal franklin,2528356,jamaal,franklin,203479,"Franklin, Jamaal",jamaal,franklin
jamal crawford,165,jamal,crawford,2037,"Crawford, Jamal",jamal,crawford
jameer nelson,2439,jameer,nelson,2749,"Nelson, Jameer",jameer,nelson
james ennis,2579321,james,ennis,203516,"Ennis, James",james,ennis
james harden,3992,james,harden,201935,"Harden, James",james,harden
james johnson,3999,james,johnson,201949,"Johnson, James",james,johnson
james jones,2009,james,jones,2592,"Jones, James",james,jones
james young,3064509,james,young,203923,"Young, James",james,young
james michael mcadoo,2594818,james,michael,203949,"McAdoo, James Michael",jamesmichael,mcadoo
jamychal green,2327577,jamychal,green,203210,"Green, JaMychal",jamychal,green
jamychal green,2327577,jamychal,green,203254,"Green, JaMychal",jamychal,green
jannero pargo,1821,jannero,pargo,2457,"Pargo, Jannero",jannero,pargo
jared cunningham,6582,jared,cunningham,203099,"Cunningham, Jared",jared,cunningham
jared dudley,3201,jared,dudley,201162,"Dudley, Jared",jared,dudley
jared sullinger,6624,jared,sullinger,203096,"Sullinger, Jared",jared,sullinger
jarnell stokes,2614962,jarnell,stokes,203950,"Stokes, Jarnell",jarnell,stokes
jarrett jack,2768,jarrett,jack,101127,"Jack, Jarrett",jarrett,jack
jason maxiell,2775,jason,maxiell,101131,"Maxiell, Jason",jason,maxiell
jason richardson,1018,jason,richardson,2202,"Richardson, Jason",jason,richardson
jason smith,3232,jason,smith,201160,"Smith, Jason",jason,smith
jason terry,841,jason,terry,1891,"Terry, Jason",jason,terry
jason thompson,3462,jason,thompson,201574,"Thompson, Jason",jason,thompson
javale mcgee,3452,javale,mcgee,201580,"McGee, JaVale",javale,mcgee
jeff adrien,4335,jeff,adrien,202399,"Adrien, Jeff",jeff,adrien
jeff ayres,4008,jeff,ayres,201965,"Ayres, Jeff",jeff,ayres
jeff green,3209,jeff,green,201145,"Green, Jeff",jeff,green
jeff taylor,6156,jeff,taylor,203106,"Taylor, Jeff",jeff,taylor
jeff teague,4015,jeff,teague,201952,"Teague, Jeff",jeff,teague
jeff withey,2333797,jeff,withey,203481,"Withey, Jeff",jeff,withey
jerami grant,2991070,jerami,grant,203924,"Grant, Jerami",jerami,grant
jerel mcneal,4158,jerel,mcneal,202077,"McNeal, Jerel",jerel,mcneal
jeremy evans,4295,jeremy,evans,202379,"Evans, Jeremy",jeremy,evans
jeremy lamb,6603,jeremy,lamb,203087,"Lamb, Jeremy",jeremy,lamb
jeremy lin,4299,jeremy,lin,202391,"Lin, Jeremy",jeremy,lin
jerome jordan,4280,jerome,jordan,202366,"Jordan, Jerome",jerome,jordan
jerryd bayless,3417,jerryd,bayless,201573,"Bayless, Jerryd",jerryd,bayless
jimmer fredette,6434,jimmer,fredette,202690,"Fredette, Jimmer",jimmer,fredette
jimmy butler,6430,jimmy,butler,202710,"Butler, Jimmy",jimmy,butler
jj hickson,3437,jj,hickson,201581,"Hickson, JJ",jj,hickson
jj redick,3024,jj,redick,200755,"Redick, JJ",jj,redick
joakim noah,3224,joakim,noah,201149,"Noah, Joakim",joakim,noah
jodie meeks,4003,jodie,meeks,201975,"Meeks, Jodie",jodie,meeks
joe harris,2528794,joe,harris,203925,"Harris, Joe",joe,harris
joe ingles,2968436,joe,ingles,204060,"Ingles, Joe",joe,ingles
joe johnson,1007,joe,johnson,2207,"Johnson, Joe",joe,johnson
joel anthony,3247,joel,anthony,201202,"Anthony, Joel",joel,anthony
joel freeland,3004,joel,freeland,200777,"Freeland, Joel",joel,freeland
joey dorsey,3421,joey,dorsey,201595,"Dorsey, Joey",joey,dorsey
joffrey lauvergne,2959753,joffrey,lauvergne,203530,"Lauvergne, Joffrey",joffrey,lauvergne
john henson,6592,john,henson,203089,"Henson, John",john,henson
john jenkins,6594,john,jenkins,203098,"Jenkins, John",john,jenkins
john lucas iii,2866,john,lucas,101249,"Lucas III, John",john,lucasiii
john salmons,1726,john,salmons,2422,"Salmons, John",john,salmons
john wall,4237,john,wall,202322,"Wall, John",john,wall
johnny obryant iii,2581084,johnny,obryant,203948,"O'Bryant, Johnny",johnny,obryant
jon leuer,6452,jon,leuer,202720,"Leuer, Jon",jon,leuer
