espn_player_name,espn_player_id,espn_first_name_lower,espn_last_name_lower,nba_id,nba_name,nba_first,nba_last
jonas jerebko,3998,jonas,jerebko,201973,"Jerebko, Jonas",jonas,jerebko
jonas valanciunas,6477,jonas,valanciunas,202685,"Valanciunas, Jonas",jonas,valanciunas
jordan adams,2993873,jordan,adams,203919,"Adams, Jordan",jordan,adams
jordan clarkson,2528426,jordan,clarkson,203903,"Clarkson, Jordan",jordan,clarkson
jordan farmar,3002,jordan,farmar,200770,"Farmar, Jordan",jordan,farmar
jordan hamilton,6436,jordan,hamilton,202706,"Hamilton, Jordan",jordan,hamilton
jordan hill,3994,jordan,hill,201941,"Hill, Jordan",jordan,hill
jorge gutierrez,2327449,jorge,gutierrez,203268,"Gutierrez, Jorge",jorge,gutierrez
jose calderon,2806,jose,calderon,101181,"Calderon, Jose",jose,calderon
jj barea,3055,jj,barea,200826,"Barea, Jose Juan",josejuan,barea
josh mcroberts,3220,josh,mcroberts,201177,"McRoberts, Josh",josh,mcroberts
josh smith,2411,josh,smith,2746,"Smith, Josh",josh,smith
jr smith,2444,jr,smith,2747,"Smith, J.R.",jr,smith
jrue holiday,3995,jrue,holiday,201950,"Holiday, Jrue",jrue,holiday
julius randle,3064514,julius,randle,203944,"Randle, Julius",julius,randle
justin hamilton,6590,justin,hamilton,203120,"Hamilton, Justin",justin,hamilton
justin holiday,2284101,justin,holiday,203200,"Holiday, Justin",justin,holiday
jusuf nurkic,3102530,jusuf,nurkic,203994,"Nurkic, Jusuf",jusuf,nurkic
kalin lucas,2282734,kalin,lucas,203564,"Lucas, Kalin",kalin,lucas
kawhi leonard,6450,kawhi,leonard,202695,"Leonard, Kawhi",kawhi,leonard
kelly olynyk,2489663,kelly,olynyk,203482,"Olynyk, Kelly",kelly,olynyk
kemba walker,6479,kemba,walker,202689,"Walker, Kemba",kemba,walker
kendall marshall,6607,kendall,marshall,203088,"Marshall, Kendall",kendall,marshall
kendrick perkins,2018,kendrick,perkins,2570,"Perkins, Kendrick",kendrick,perkins
kenneth faried,6433,kenneth,faried,202702,"Faried, Kenneth",kenneth,faried
kent bazemore,6637,kent,bazemore,203145,"Bazemore, Kent",kent,bazemore
kentavious caldwellpope,2581018,kentavious,caldwellpope,203484,"Caldwell-Pope, Kentavious",kentavious,caldwellpope
kenyon martin,515,kenyon,martin,2030,"Martin, Kenyon",kenyon,martin
kevin durant,3202,kevin,durant,201142,"Durant, Kevin",kevin,durant
kevin garnett,261,kevin,garnett,708,"Garnett, Kevin",kevin,garnett
kevin love,3449,kevin,love,201567,"Love, Kevin",kevin,love
kevin martin,2394,kevin,martin,2755,"Martin, Kevin",kevin,martin
kevin seraphin,4289,kevin,seraphin,202338,"Seraphin, Kevin",kevin,seraphin
khris middleton,6609,khris,middleton,203114,"Middleton, Khris",khris,middleton
kirk hinrich,1981,kirk,hinrich,2550,"Hinrich, Kirk",kirk,hinrich
kj mcdaniels,2566741,kj,mcdaniels,203909,"McDaniels, KJ",kj,mcdaniels
klay thompson,6475,klay,thompson,202691,"Thompson, Klay",klay,thompson
kobe bryant,110,kobe,bryant,977,"Bryant, Kobe",kobe,bryant
kosta koufos,3444,kosta,koufos,201585,"Koufos, Kosta",kosta,koufos
kostas papanikolaou,4195,kostas,papanikolaou,203123,"Papanikolaou, Kostas",kostas,papanikolaou
kris humphries,2433,kris,humphries,2743,"Humphries, Kris",kris,humphries
kyle anderson,2993874,kyle,anderson,203937,"Anderson, Kyle",kyle,anderson
kyle korver,2011,kyle,korver,2594,"Korver, Kyle",kyle,korver
kyle lowry,3012,kyle,lowry,200768,"Lowry, Kyle",kyle,lowry
kyle oquinn,6615,kyle,oquinn,203124,"O'Quinn, Kyle",kyle,oquinn
kyle singler,6469,kyle,singler,202713,"Singler, Kyle",kyle,singler
kyrie irving,6442,kyrie,irving,202681,"Irving, Kyrie",kyrie,irving
lamarcus aldridge,2983,lamarcus,aldridge,200746,"Aldridge, LaMarcus",lamarcus,aldridge
lance stephenson,4244,lance,stephenson,202362,"Stephenson, Lance",lance,stephenson
lance thomas,6485,lance,thomas,202498,"Thomas, Lance",lance,thomas
landry fields,4274,landry,fields,202361,"Fields, Landry",landry,fields
langston galloway,2530572,langston,galloway,204038,"Galloway, Langston",langston,galloway
larry drew ii,2325495,larry,drew,203580,"Drew, Larry",larry,drew
larry sanders,4265,larry,sanders,202336,"Sanders, Larry",larry,sanders
lavoy allen,6424,lavoy,allen,202730,"Allen, Lavoy",lavoy,allen
leandro barbosa,2166,leandro,barbosa,2571,"Barbosa, Leandro",leandro,barbosa
lebron james,1966,lebron,james,2544,"James, LeBron",lebron,james
lester hudson,3996,lester,hudson,201991,"Hudson, Lester",lester,hudson
lorenzo brown,2528787,lorenzo,brown,203485,"Brown, Lorenzo",lorenzo,brown
lou amundson,3041,lou,amundson,200811,"Amundson, Lou",lou,amundson
louis williams,2799,louis,williams,101150,"Williams, Lou",lou,williams
luc richard mbah a moute,3451,luc,richard,201601,"Mbah a Moute, Luc",luc,mbahamoute
lucas nogueira,3032980,lucas,nogueira,203512,"Nogueira, Lucas",lucas,nogueira
luis scola,1781,luis,scola,2449,"Scola, Luis",luis,scola
luke babbitt,4250,luke,babbitt,202337,"Babbitt, Luke",luke,babbitt
luke ridnour,1985,luke,ridnour,2557,"Ridnour, Luke",luke,ridnour
luol deng,2429,luol,deng,2736,"Deng, Luol",luol,deng
malcolm thomas,6511,malcolm,thomas,202952,"Thomas, Malcolm",malcolm,thomas
manu ginobili,272,manu,ginobili,1938,"Ginobili, Manu",manu,ginobili
marc gasol,3206,marc,gasol,201188,"Gasol, Marc",marc,gasol
marcin gortat,2758,marcin,gortat,101162,"Gortat, Marcin",marcin,gortat
marco belinelli,3190,marco,belinelli,201158,"Belinelli, Marco",marco,belinelli
marcus morris,6462,marcus,morris,202694,"Morris, Marcus",marcus,morris
marcus smart,2990992,marcus,smart,203935,"Smart, Marcus",marcus,smart
marcus thornton,4017,marcus,thornton,201977,"Thornton, Marcus",marcus,thornton
mario chalmers,3419,mario,chalmers,201596,"Chalmers, Mario",mario,chalmers
markel brown,2530750,markel,brown,203900,"Brown, Markel",markel,brown
markieff morris,6461,markieff,morris,202693,"Morris, Markieff",markieff,morris
marreese speights,3460,marreese,speights,201578,"Speights, Marreese",marreese,speights
martell webster,2795,martell,webster,101110,"Webster, Martell",martell,webster
marvin williams,2797,marvin,williams,101107,"Williams, Marvin",marvin,williams
mason plumlee,2488653,mason,plumlee,203486,"Plumlee, Mason",mason,plumlee
matt barnes,1765,matt,barnes,2440,"Barnes, Matt",matt,barnes
matt bonner,1996,matt,bonner,2588,"Bonner, Matt",matt,bonner
matthew dellavedova,2489716,matthew,dellavedova,203521,"Dellavedova, Matthew",matthew,dellavedova
maurice harkless,6591,maurice,harkless,203090,"Harkless, Maurice",maurice,harkless
meyers leonard,6605,meyers,leonard,203086,"Leonard, Meyers",meyers,leonard
michael beasley,3418,michael,beasley,201563,"Beasley, Michael",michael,beasley
michael carterwilliams,2596108,michael,carterwilliams,203487,"Carter-Williams, Michael",michael,carterwilliams
michael kiddgilchrist,6601,michael,kiddgilchrist,203077,"Kidd-Gilchrist, Michael",michael,kiddgilchrist
mike conley,3195,mike,conley,201144,"Conley, Mike",mike,conley
mike dunleavy,1708,mike,dunleavy,2399,"Dunleavy, Mike",mike,dunleavy
mike miller,558,mike,miller,2034,"Miller, Mike",mike,miller
mike muscala,2490089,mike,muscala,203488,"Muscala, Mike",mike,muscala
mike scott,6622,mike,scott,203118,"Scott, Mike",mike,scott
miles plumlee,6616,miles,plumlee,203101,"Plumlee, Miles",miles,plumlee
miroslav raduljica,3047256,miroslav,raduljica,203545,"Raduljica, Miroslav",miroslav,raduljica
mirza teletovic,4385,mirza,teletovic,203141,"Teletovic, Mirza",mirza,teletovic
mitch mcgary,2991041,mitch,mcgary,203956,"McGary, Mitch",mitch,mcgary
mo williams,2178,mo,williams,2590,"Williams, Mo",mo,williams
monta ellis,2751,monta,ellis,101145,"Ellis, Monta",monta,ellis
nate robinson,2782,nate,robinson,101126,"Robinson, Nate",nate,robinson
nate wolters,2491079,nate,wolters,203489,"Wolters, Nate",nate,wolters
nazr mohammed,568,nazr,mohammed,1737,"Mohammed, Nazr",nazr,mohammed
nerlens noel,2991280,nerlens,noel,203457,"Noel, Nerlens",nerlens,noel
nick calathes,3969,nick,calathes,201979,"Calathes, Nick",nick,calathes
nick collison,1978,nick,collison,2555,"Collison, Nick",nick,collison
nick johnson,2580589,nick,johnson,203910,"Johnson, Nick",nick,johnson
nick young,3243,nick,young,201156,"Young, Nick",nick,young
nicolas batum,3416,nicolas,batum,201587,"Batum, Nicolas",nicolas,batum
nik stauskas,2991042,nik,stauskas,203917,"Stauskas, Nik",nik,stauskas
nikola mirotic,6459,nikola,mirotic,202703,"Mirotic, Nikola",nikola,mirotic
nikola pekovic,3453,nikola,pekovic,201593,"Pekovic, Nikola",nikola,pekovic
nikola vucevic,6478,nikola,vucevic,202696,"Vucevic, Nikola",nikola,vucevic
noah vonleh,3078284,noah,vonleh,203943,"Vonleh, Noah",noah,vonleh
norris cole,6431,norris,cole,202708,"Cole, Norris",norris,cole
ognjen kuzmic,6602,ognjen,kuzmic,203136,"Kuzmic, Ognjen",ognjen,kuzmic
oj mayo,3450,oj,mayo,201564,"Mayo, O.J.",oj,mayo
omer asik,3414,omer,asik,201600,"Asik, Omer",omer,asik
omri casspi,3554,omri,casspi,201956,"Casspi, Omri",omri,casspi
otto porter jr,2594922,otto,porter,203490,"Porter, Otto",otto,porter
pablo prigioni,4182,pablo,prigioni,203143,"Prigioni, Pablo",pablo,prigioni
patrick beverley,3964,patrick,beverley,201976,"Beverley, Patrick",patrick,beverley
patrick christopher,2232456,patrick,christopher,203565,"Christopher, Patrick",patrick,christopher
patrick patterson,4264,patrick,patterson,202335,"Patterson, Patrick",patrick,patterson
patty mills,4004,patty,mills,201988,"Mills, Patty",patty,mills
pau gasol,996,pau,gasol,2200,"Gasol, Pau",pau,gasol
paul george,4251,paul,george,202331,"George, Paul",paul,george
paul millsap,3015,paul,millsap,200794,"Millsap, Paul",paul,millsap
paul pierce,662,paul,pierce,1718,"Pierce, Paul",paul,pierce
pero antic,2585616,pero,antic,203544,"Antic, Pero",pero,antic
perry jones,6598,perry,jones,203103,"Jones, Perry",perry,jones
phil pressey,2530722,phil,pressey,203515,"Pressey, Phil",phil,pressey
pj hairston,2594816,pj,hairston,203798,"Hairston, PJ",pj,hairston
pj tucker,3033,pj,tucker,200782,"Tucker, PJ",pj,tucker
quincy acy,6576,quincy,acy,203112,"Acy, Quincy",quincy,acy
quincy miller,6611,quincy,miller,203113,"Miller, Quincy",quincy,miller
quincy miller,6611,quincy,miller,203296,"Miller, Quincy",quincy,miller
quincy pondexter,4253,quincy,pondexter,202347,"Pondexter, Quincy",quincy,pondexter
quincy pondexter,4253,quincy,pondexter,530027,"Pondexter, Quincy",quincy,pondexter
rajon rondo,3026,rajon,rondo,200765,"Rondo, Rajon",rajon,rondo
ramon sessions,3231,ramon,sessions,201196,"Sessions, Ramon",ramon,sessions
randy foye,3003,randy,foye,200751,"Foye, Randy",randy,foye
rasual butler,1767,rasual,butler,2446,"Butler, Rasual",rasual,butler
ray mccallum,2528447,ray,mccallum,203492,"McCallum, Ray",ray,mccallum
raymond felton,2753,raymond,felton,101109,"Felton, Raymond",raymond,felton
reggie bullock,2528779,reggie,bullock,203493,"Bullock, Reggie",reggie,bullock
reggie evans,1828,reggie,evans,2501,"Evans, Reggie",reggie,evans
reggie jackson,6443,reggie,jackson,202704,"Jackson, Reggie",reggie,jackson
reggie williams,4229,reggie,williams,202130,"Williams, Reggie",reggie,williams
richard jefferson,1006,richard,jefferson,2210,"Jefferson, Richard",richard,jefferson
ricky ledo,2991143,ricky,ledo,203495,"Ledo, Ricky",ricky,ledo
ricky rubio,4011,ricky,rubio,201937,"Rubio, Ricky",ricky,rubio
robbie hummel,6633,robbie,hummel,203133,"Hummel, Robbie",robbie,hummel
robert covington,2490620,robert,covington,203496,"Covington, Robert",robert,covington
robert sacre,6620,robert,sacre,203135,"Sacre, Robert",robert,sacre
robin lopez,3447,robin,lopez,201577,"Lopez, Robin",robin,lopez
rodney hood,2581177,rodney,hood,203918,"Hood, Rodney",rodney,hood
rodney stuckey,3235,rodney,stuckey,201155,"Stuckey, Rodney",rodney,stuckey
ronnie price,2807,ronnie,price,101179,"Price, Ronnie",ronnie,price
ronny turiaf,2789,ronny,turiaf,101142,"Turiaf, Ronny",ronny,turiaf
roy hibbert,3436,roy,hibbert,201579,"Hibbert, Roy",roy,hibbert
rudy gay,3005,rudy,gay,200752,"Gay, Rudy",rudy,gay
rudy gobert,3032976,rudy,gobert,203497,"Gobert, Rudy",rudy,gobert
russ smith,2531038,russ,smith,203893,"Smith, Russ",russ,smith
russell westbrook,3468,russell,westbrook,201566,"Westbrook, Russell",russell,westbrook
ryan anderson,3412,ryan,anderson,201583,"Anderson, Ryan",ryan,anderson
ryan hollins,3008,ryan,hollins,200797,"Hollins, Ryan",ryan,hollins
ryan kelly,2488651,ryan,kelly,203527,"Kelly, Ryan",ryan,kelly
samuel dalembert,991,samuel,dalembert,2223,"Dalembert, Samuel",samuel,dalembert
sean kilpatrick,2488689,sean,kilpatrick,203930,"Kilpatrick, Sean",sean,kilpatrick
sebastian telfair,2417,sebastian,telfair,2742,"Telfair, Sebastian",sebastian,telfair
serge ibaka,3439,serge,ibaka,201586,"Ibaka, Serge",serge,ibaka
sergey karasev,2959745,sergey,karasev,203508,"Karasev, Sergey",sergey,karasev
seth curry,2326307,seth,curry,203552,"Curry, Seth",seth,curry
shabazz muhammad,2993875,shabazz,muhammad,203498,"Muhammad, Shabazz",shabazz,muhammad
shabazz napier,2530780,shabazz,napier,203894,"Napier, Shabazz",shabazz,napier
shane larkin,2596158,shane,larkin,203499,"Larkin, Shane",shane,larkin
shannon brown,2992,shannon,brown,200769,"Brown, Shannon",shannon,brown
shaun livingston,2393,shaun,livingston,2733,"Livingston, Shaun",shaun,livingston
shavlik randolph,2810,shavlik,randolph,101183,"Randolph, Shavlik",shavlik,randolph
shawn marion,510,shawn,marion,1890,"Marion, Shawn",shawn,marion
shawne williams,3038,shawne,williams,200761,"Williams, Shawne",shawne,williams
shayne whittington,2491063,shayne,whittington,203963,"Whittington, Shayne",shayne,whittington
shelvin mack,6454,shelvin,mack,202714,"Mack, Shelvin",shelvin,mack
sim bhullar,2596402,sim,bhullar,204021,"Bhullar, Sim",sim,bhullar
solomon hill,2488958,solomon,hill,203524,"Hill, Solomon",solomon,hill
spencer dinwiddie,2580782,spencer,dinwiddie,203915,"Dinwiddie, Spencer",spencer,dinwiddie
spencer hawes,3211,spencer,hawes,201150,"Hawes, Spencer",spencer,hawes
stephen curry,3975,stephen,curry,201939,"Curry, Stephen",stephen,curry
steve blake,1994,steve,blake,2581,"Blake, Steve",steve,blake
steve novak,3018,steve,novak,200779,"Novak, Steve",steve,novak
steven adams,2991235,steven,adams,203500,"Adams, Steven",steven,adams
taj gibson,3986,taj,gibson,201959,"Gibson, Taj",taj,gibson
tarik black,2528393,tarik,black,204028,"Black, Tarik",tarik,black
tayshaun prince,1724,tayshaun,prince,2419,"Prince, Tayshaun",tayshaun,prince
terrence jones,6597,terrence,jones,203093,"Jones, Terrence",terrence,jones
terrence ross,6619,terrence,ross,203082,"Ross, Terrence",terrence,ross
thabo sefolosha,3028,thabo,sefolosha,200757,"Sefolosha, Thabo",thabo,sefolosha
thaddeus young,3244,thaddeus,young,201152,"Young, Thaddeus",thaddeus,young
thomas robinson,6618,thomas,robinson,203080,"Robinson, Thomas",thomas,robinson
tiago splitter,3233,tiago,splitter,201168,"Splitter, Tiago",tiago,splitter
tim duncan,215,tim,duncan,1495,"Duncan, Tim",tim,duncan
tim frazier,2488945,tim,frazier,204025,"Frazier, Tim",tim,frazier
tim hardaway jr,2528210,tim,hardaway,203501,"Hardaway Jr., Tim",tim,hardawayjr
timofey mozgov,4298,timofey,mozgov,202389,"Mozgov, Timofey",timofey,mozgov
tj warren,2982334,tj,warren,203933,"Warren, TJ",tj,warren
tobias harris,6440,tobias,harris,202699,"Harris, Tobias",tobias,harris
toney douglas,3979,toney,douglas,201962,"Douglas, Toney",toney,douglas
tony allen,2367,tony,allen,2754,"Allen, Tony",tony,allen
tony parker,1015,tony,parker,2225,"Parker, Tony",tony,parker
tony snell,2528353,tony,snell,203503,"Snell, Tony",tony,snell
tony wroten,6630,tony,wroten,203100,"Wroten, Tony",tony,wroten
toure murry,2327107,toure,murry,203315,"Murry, Toure",toure,murry
travis wear,2488674,travis,wear,204037,"Wear, Travis",travis,wear
trevor ariza,2426,trevor,ariza,2772,"Ariza, Trevor",trevor,ariza
trevor booker,4270,trevor,booker,202344,"Booker, Trevor",trevor,booker
trey burke,2579260,trey,burke,203504,"Burke, Trey",trey,burke
tristan thompson,6474,tristan,thompson,202684,"Thompson, Tristan",tristan,thompson
troy daniels,2489530,troy,daniels,203584,"Daniels, Troy",troy,daniels
ty lawson,4000,ty,lawson,201951,"Lawson, Ty",ty,lawson
tyler ennis,3059281,tyler,ennis,203898,"Ennis, Tyler",tyler,ennis
tyler hansbrough,3991,tyler,hansbrough,201946,"Hansbrough, Tyler",tyler,hansbrough
tyler johnson,2530276,tyler,johnson,204020,"Johnson, Tyler",tyler,johnson
tyler zeller,6631,tyler,zeller,203092,"Zeller, Tyler",tyler,zeller
tyreke evans,3983,tyreke,evans,201936,"Evans, Tyreke",tyreke,evans
tyrus thomas,3032,tyrus,thomas,200748,"Thomas, Tyrus",tyrus,thomas
tyson chandler,984,tyson,chandler,2199,"Chandler, Tyson",tyson,chandler
udonis haslem,2184,udonis,haslem,2617,"Haslem, Udonis",udonis,haslem
vander blue,2531039,vander,blue,203505,"Blue, Vander",vander,blue
victor claver,3972,victor,claver,201964,"Claver, Victor",victor,claver
victor oladipo,2527963,victor,oladipo,203506,"Oladipo, Victor",victor,oladipo
vince carter,136,vince,carter,1713,"Carter, Vince",vince,carter
wayne ellington,3981,wayne,ellington,201961,"Ellington, Wayne",wayne,ellington
wesley johnson,4247,wesley,johnson,202325,"Johnson, Wesley",wesley,johnson
wesley matthews,4032,wesley,matthews,202083,"Matthews, Wesley",wesley,matthews
will barton,6579,will,barton,203115,"Barton, Will",will,barton
will bynum,2816,will,bynum,101198,"Bynum, Will",will,bynum
will cherry,2489897,will,cherry,203805,"Cherry, Will",will,cherry
willie green,2004,willie,green,2584,"Green, Willie",willie,green
wilson chandler,3194,wilson,chandler,201163,"Chandler, Wilson",wilson,chandler
xavier henry,4241,xavier,henry,202333,"Henry, Xavier",xavier,henry
zach lavine,3064440,zach,lavine,203897,"LaVine, Zach",zach,lavine
zach randolph,1017,zach,randolph,2216,"Randolph, Zach",zach,randolph
zaza pachulia,2016,zaza,pachulia,2585,"Pachulia, Zaza",zaza,pachulia
zoran dragic,2560823,zoran,dragic,204054,"Dragic, Zoran",zoran,dragic
john doe,,john,doe,,"Doe, John",john,doe
malcolm lee,6449,malcolm,lee,202723,"Lee, Malcolm",malcolm,lee
nene hilario,1713,nene,hilario,2403,Nene,,nene
